                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3106,                 2.5213,                 1.3191,                0.71123,                0.14576,                0.25118,                0.15243,                 1.3682,                 2.8794,                 1.3007,             0.00054332,             0.00054332,             0.00054332
                      2,                 1.3478,                 1.9048,                 1.2593,                0.34354,                0.23456,                0.20388,                0.09385,                  1.811,                 2.7158,                 1.6969,              0.0010881,              0.0010881,              0.0010881
                      3,                 1.4029,                 1.7927,                 1.3032,                0.24207,                0.45107,                0.30847,                0.17159,                 1.6336,                 3.4433,                 1.5964,              0.0016219,              0.0016219,              0.0016219
                      4,                 1.4056,                  1.705,                 1.3162,                0.45081,                0.40514,                0.37583,                0.19014,                 1.7066,                  2.327,                   1.61,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.3704,                 1.5736,                  1.298,                0.50408,                0.52968,                0.50762,                0.27812,                  1.629,                 2.3366,                 1.5391,               0.001601,               0.001601,               0.001601
                      6,                 1.3635,                 1.4899,                 1.2817,                0.51728,                0.53105,                0.51477,                0.27067,                 1.6553,                 1.7717,                 1.5098,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.3507,                 1.3999,                 1.2643,                0.56984,                0.56912,                0.56824,                0.30795,                 1.6009,                 1.7267,                 1.4377,               0.001568,               0.001568,               0.001568
                      8,                 1.3054,                 1.3829,                 1.2391,                0.63222,                0.57385,                0.57531,                0.30391,                 1.5818,                  1.619,                 1.3877,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.3023,                 1.3287,                 1.2327,                0.67085,                0.50967,                0.57304,                0.32121,                 1.4729,                 1.6832,                 1.3365,               0.001535,               0.001535,               0.001535
                     10,                 1.2934,                 1.2831,                  1.233,                0.67999,                 0.6014,                0.65813,                0.38213,                 1.4657,                 1.4022,                 1.3224,              0.0015185,              0.0015185,              0.0015185
