                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3432,                 2.2401,                  1.399,                0.02377,                0.15564,                0.01338,                 0.0044,                 2.5462,                 17.295,                 3.9136,             0.00054332,             0.00054332,             0.00054332
                      2,                 1.4822,                 1.7617,                 1.4113,                0.00897,                0.52905,                0.00748,                0.00293,                 2.4542,                    inf,                  14.97,              0.0010881,              0.0010881,              0.0010881
                      3,                 1.5483,                 1.6925,                 1.4673,                0.00541,                0.04321,                0.00291,                0.00099,                 3.2628,                 160.26,                 9.3352,              0.0016219,              0.0016219,              0.0016219
                      4,                 1.5301,                 1.5875,                 1.4744,                0.11865,                0.26752,                0.10895,                 0.0524,                 1.9612,                  14.52,                 2.0044,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.5397,                 1.6098,                 1.4468,                0.35359,                0.29997,                0.21087,                0.09889,                 2.1746,                 3.0169,                 2.0876,               0.001601,               0.001601,               0.001601
                      6,                 1.4922,                 1.5471,                 1.4035,                0.52433,                0.46596,                0.46913,                0.23909,                 1.8032,                 2.2211,                 1.6635,              0.0015845,              0.0015845,              0.0015845
                      7,                  1.439,                 1.4489,                 1.3579,                0.45576,                0.46737,                0.42337,                0.21852,                 1.8227,                 3.2166,                 1.6946,               0.001568,               0.001568,               0.001568
                      8,                  1.393,                 1.4023,                 1.3478,                 0.4153,                0.49201,                0.44491,                0.25608,                 1.7152,                 2.7487,                 1.6022,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.3831,                 1.3745,                 1.3483,                0.61772,                0.57922,                0.62253,                0.37253,                 1.5134,                 1.4508,                 1.4331,               0.001535,               0.001535,               0.001535
                     10,                 1.3455,                 1.3204,                 1.3281,                0.56404,                0.58488,                0.59819,                0.36118,                  1.515,                  1.534,                 1.4075,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.3826,                 1.3311,                 1.3279,                0.49759,                0.50781,                0.49978,                0.28686,                 1.6322,                 2.1985,                 1.5175,               0.001502,               0.001502,               0.001502
                     12,                 1.3133,                 1.2543,                 1.2864,                0.63618,                0.56888,                0.58542,                0.34013,                 1.5063,                 1.5954,                 1.4072,              0.0014855,              0.0014855,              0.0014855
                     13,                  1.296,                 1.2816,                  1.302,                0.62936,                0.60248,                 0.6187,                0.35622,                 1.5224,                 1.4607,                 1.4097,               0.001469,               0.001469,               0.001469
                     14,                 1.3184,                 1.2817,                 1.2914,                0.54718,                0.48962,                0.46661,                 0.2663,                 1.6359,                 1.9895,                 1.5082,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.2521,                 1.2478,                 1.2721,                0.60165,                0.61175,                0.63138,                0.40157,                 1.4226,                 1.3445,                  1.345,               0.001436,               0.001436,               0.001436
                     16,                 1.2503,                 1.1969,                 1.2473,                0.62045,                0.55925,                0.60389,                0.36271,                 1.4732,                 1.5303,                 1.3605,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.2344,                 1.1758,                 1.2516,                0.60336,                0.58161,                0.62357,                0.38452,                 1.4532,                  1.335,                 1.3662,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.2261,                  1.187,                 1.2692,                0.58366,                0.66453,                0.66804,                0.41464,                 1.4166,                 1.3108,                 1.3312,              0.0013864,              0.0013864,              0.0013864
                     19,                  1.229,                  1.146,                 1.2659,                 0.6237,                0.58684,                0.63143,                0.40706,                 1.4143,                  1.324,                 1.3538,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.2463,                 1.1649,                 1.2826,                0.68786,                0.66503,                0.70299,                0.43755,                 1.3661,                 1.2541,                 1.3045,              0.0013534,              0.0013534,              0.0013534
                     21,                   1.18,                  1.115,                 1.2291,                0.60596,                0.62205,                0.64913,                0.40655,                 1.3664,                 1.2771,                 1.3061,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.2172,                 1.1675,                 1.2541,                0.61981,                0.60698,                0.62465,                0.38933,                 1.3944,                 1.3172,                 1.3285,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.2052,                 1.1024,                 1.2318,                0.58655,                0.62772,                0.64801,                0.41702,                 1.3636,                 1.3014,                  1.298,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.1887,                 1.1002,                  1.242,                0.70884,                0.63794,                 0.6777,                0.43701,                 1.3452,                 1.2316,                 1.3026,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.1895,                 1.1029,                  1.232,                0.67037,                0.56062,                0.62629,                0.38892,                 1.4328,                 1.3745,                 1.3531,              0.0012709,              0.0012709,              0.0012709
                     26,                   1.18,                 1.0698,                 1.2422,                0.71011,                0.59476,                0.65216,                0.41299,                 1.3327,                 1.2716,                  1.289,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.1751,                 1.1176,                 1.2253,                0.60185,                0.63544,                0.63954,                0.40456,                 1.3416,                 1.3355,                  1.285,              0.0012379,              0.0012379,              0.0012379
                     28,                  1.153,                 1.0353,                 1.2242,                0.68068,                0.64113,                0.69044,                0.45596,                 1.3304,                 1.1585,                 1.2667,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.1292,                 1.0581,                 1.2042,                0.71785,                0.64606,                0.73149,                0.48205,                 1.3011,                 1.1056,                 1.2423,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.1215,                  1.004,                 1.1991,                0.65347,                0.59736,                0.65147,                0.43836,                 1.2867,                 1.2479,                 1.2488,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.1367,                 1.0215,                 1.2028,                0.64706,                0.60997,                 0.6442,                0.41188,                 1.3982,                 1.2349,                 1.3175,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.1384,                 1.0481,                 1.2044,                0.64064,                  0.664,                0.68878,                 0.4551,                 1.3025,                 1.1557,                  1.269,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.1287,                 1.0513,                 1.1998,                0.66726,                0.65337,                0.68491,                0.43993,                 1.3096,                 1.1294,                 1.2441,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.1252,                   1.04,                 1.1994,                   0.67,                 0.6261,                0.67968,                0.44995,                 1.2993,                 1.1541,                 1.2258,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.0997,                 1.0343,                 1.1907,                0.72219,                0.66712,                0.71428,                  0.471,                  1.302,                 1.1381,                 1.2537,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.1321,                0.96209,                 1.1976,                0.67299,                0.69381,                0.71647,                0.46855,                 1.3139,                 1.1112,                  1.261,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.0777,                0.97538,                 1.1609,                0.70204,                0.64956,                0.69129,                0.44224,                  1.349,                 1.1842,                 1.2714,              0.0010729,              0.0010729,              0.0010729
                     38,                  1.077,                0.98292,                 1.1736,                0.64129,                0.66215,                0.67651,                0.43766,                 1.3571,                  1.191,                 1.2884,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.0967,                0.97166,                 1.1696,                0.76649,                0.64638,                0.72819,                0.47701,                 1.3127,                 1.0756,                 1.2589,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.0816,                0.98608,                 1.1927,                0.64232,                0.67674,                0.70675,                0.46344,                 1.3137,                 1.1126,                 1.2789,              0.0010234,              0.0010234,              0.0010234
