                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3441,                 3.2077,                 3.4417,                 1.5794,                0.67128,                0.16667,                0.25414,                0.11507,                0.67128,                0.16667,                0.21232,                0.11142,                 1.2109,                 3.5031,                 3.4177,                 1.5358,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 1.4722,                 3.2676,                 3.5788,                 1.6584,                0.66815,                0.16667,                0.13907,                0.06499,                0.66815,                0.16667,                 0.1298,                0.06149,                 1.2032,                 3.5223,                 3.4418,                 1.5249,             8.2525e-05,             8.2525e-05,             8.2525e-05
                      3,                 1.5882,                 3.4774,                 3.5677,                 1.7479,                0.49337,                0.38889,                0.23773,                0.17429,                0.47912,                0.27778,                0.20801,                 0.1891,                 1.5044,                 2.1143,                 29.242,                 1.7291,             0.00013072,             0.00013072,             0.00013072
                      4,                 1.2313,                 2.4504,                 5.3792,                 1.4197,                0.08703,                0.72222,                0.09839,                0.04457,                0.04815,                0.55556,                0.04735,                0.02484,                 1.6659,                 3.1061,                 64.718,                  1.794,             0.00017792,             0.00017792,             0.00017792
                      5,                 1.0954,                 1.9169,                 2.3392,                 1.2261,                0.03202,                0.55556,                0.05608,                0.02245,                 0.0135,                0.27778,                0.00809,                0.00206,                 1.9518,                 16.661,                 309.95,                 2.6229,             0.00022414,             0.00022414,             0.00022414
                      6,                 1.2706,                 1.9797,                  2.479,                 1.3432,                0.01391,                0.38889,                0.02623,                0.01096,                0.01243,                0.44444,                0.03729,                0.00972,                 1.9774,                 25.486,                 273.47,                  3.959,             0.00026936,             0.00026936,             0.00026936
                      7,                  1.028,                 1.6802,                 2.2694,                 1.2301,                0.01581,                0.44444,                0.05788,                0.02261,                0.01496,                    0.5,                 0.0242,                0.00871,                 1.6968,                 30.581,                 495.07,                 3.8692,              0.0003136,              0.0003136,              0.0003136
                      8,                 1.0468,                  1.662,                  2.339,                 1.2595,                0.00931,                0.44444,                 0.0107,                0.00587,                0.01362,                0.61111,                0.01265,                0.00487,                 2.1162,                 13.466,                    inf,                 4.3441,             0.00035684,             0.00035684,             0.00035684
                      9,                 1.1571,                  2.027,                 2.1877,                 1.2953,                0.00532,                0.55556,                0.00524,                0.00217,                0.00354,                0.44444,                0.00325,                0.00185,                 2.1259,                 10.958,                    inf,                 5.5376,             0.00039909,             0.00039909,             0.00039909
                     10,                 1.1491,                 1.7654,                 1.8687,                 1.2649,                0.00748,                0.72222,                0.01548,                0.00871,                0.00586,                0.61111,                0.01331,                0.00806,                 2.1911,                 9.6795,                    inf,                 5.8144,             0.00044036,             0.00044036,             0.00044036
                     11,                 1.0827,                 1.7745,                 1.7175,                 1.2565,                0.00918,                0.77778,                0.02684,                0.01335,                0.00777,                0.55556,                0.00818,                0.00669,                 1.4872,                 16.167,                    inf,                 3.7188,             0.00048063,             0.00048063,             0.00048063
                     12,                 1.1425,                 1.7663,                 1.7293,                 1.2734,                0.01182,                    0.5,                0.01671,                0.00877,                0.00738,                0.55556,                0.00933,                0.00459,                 1.7968,                 16.382,                  586.7,                 3.1235,             0.00051991,             0.00051991,             0.00051991
                     13,                 1.1124,                 1.5438,                 1.9753,                 1.2991,                0.00675,                0.44444,                0.00904,                0.00242,                0.00263,                0.27778,                0.00256,                0.00137,                 2.6266,                 31.697,                    inf,                 10.818,              0.0005582,              0.0005582,              0.0005582
                     14,                 1.2004,                 1.5472,                 1.8026,                 1.3145,                0.00733,                    0.5,                0.00984,                0.00265,                 0.0027,                0.27778,                0.00174,                0.00084,                 3.0484,                 73.992,                    inf,                 14.694,             0.00059551,             0.00059551,             0.00059551
