                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3072,                 3.2384,                 1.5265,                 0.3013,                0.25501,                0.26711,                0.15659,                 1.1492,                 4.3191,                  1.442,             0.00041675,             0.00041675,             0.00041675
                      2,                 1.3962,                 2.2311,                 1.5284,                0.08404,                0.21104,                0.07558,                 0.0339,                 2.0468,                 4.0701,                 3.1335,             0.00084596,             0.00084596,             0.00084596
                      3,                 1.5839,                 2.2959,                 1.6669,                0.54225,                0.10714,                0.02263,                0.00624,                 2.9765,                 35.299,                 8.7409,              0.0012709,              0.0012709,              0.0012709
                      4,                 1.6313,                 2.1909,                 1.6862,                0.09823,                0.10499,                0.02565,                0.00725,                 3.2136,                 59.005,                 5.5561,              0.0016422,              0.0016422,              0.0016422
                      5,                 1.6144,                 1.9652,                 1.6681,                0.10157,                0.28556,                0.07857,                 0.0299,                 2.3944,                 35.396,                 4.3556,               0.001634,               0.001634,               0.001634
                      6,                 1.5893,                 2.0419,                 1.6302,                0.01597,                0.14932,                0.00546,                0.00108,                 3.9831,                 51.768,                 7.8073,              0.0016257,              0.0016257,              0.0016257
                      7,                 1.5614,                 2.0289,                 1.6559,                0.27862,                0.06219,                 0.0104,                0.00161,                 3.1283,                 9.1286,                 5.0573,              0.0016175,              0.0016175,              0.0016175
                      8,                 1.4005,                 1.8597,                  1.546,                0.31007,                0.50339,                0.29148,                0.16641,                 1.4642,                 2.3709,                 1.7714,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.4741,                 1.8687,                 1.5924,                0.58906,                 0.0625,                0.04668,                 0.0229,                 1.8753,                 6.4747,                 2.0803,               0.001601,               0.001601,               0.001601
                     10,                 1.4238,                 1.9017,                 1.5262,                0.61613,                0.14286,                0.08911,                0.03184,                  2.303,                 4.3977,                 2.4864,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.4388,                 1.7909,                 1.5396,                0.20891,                0.23091,                0.13775,                0.06595,                 1.9682,                 4.9731,                 2.2476,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.3908,                 1.7775,                 1.5121,                0.21856,                0.40579,                0.19212,                 0.0979,                 1.8621,                  2.639,                 2.0551,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.4075,                 1.7168,                  1.539,                0.35463,                0.36484,                0.24144,                0.15211,                  1.525,                 3.0136,                 1.6344,               0.001568,               0.001568,               0.001568
                     14,                 1.3617,                 1.7136,                  1.503,                0.34751,                0.53095,                0.36244,                0.22744,                 1.3932,                 1.9231,                  1.502,              0.0015597,              0.0015597,              0.0015597
                     15,                  1.356,                 1.7094,                 1.5236,                0.40113,                0.79092,                0.46956,                0.27758,                 1.2562,                 1.5677,                 1.4171,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.2673,                 1.6261,                 1.4239,                 0.2271,                 0.5976,                0.30412,                0.18233,                 1.3121,                 2.2745,                 1.4548,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.3013,                 1.6008,                 1.4516,                0.47929,                0.71367,                0.53315,                0.33755,                 1.1614,                 1.4174,                 1.3621,               0.001535,               0.001535,               0.001535
